DriverRating,AccidentArea,AgeOfVehicle,Fault,VehicleCategory,UnusualDeductible,WitnessPresent,MonthClaimed,Year,Sex,PolicyType,Deductible,ClaimProcessingTime,WeekOfMonth,RepNumber,Age,NumberOfSuppliments,ClaimAmountRisk,FraudFound_P
4,1,6,0,3,0,0,9,1995,1,33,400,362,3,4,45,0,20,0
3,1,6,0,1,0,0,11,1995,1,13,400,575,1,12,50,0,9,0
4,0,6,1,1,0,0,2,1994,0,13,400,374,4,3,28,0,20,0
1,1,7,0,2,0,0,10,1994,1,12,400,368,1,8,50,5,1,0
1,1,4,0,1,0,0,4,1995,1,13,400,366,2,12,32,1,1,0
2,0,6,1,1,0,0,7,1996,1,11,400,371,4,6,46,0,2,0
2,1,5,1,1,0,0,1,1996,1,13,400,359,2,16,26,0,2,0
4,1,6,0,2,0,0,1,1994,1,12,400,78,2,9,45,0,4,0
3,1,5,1,1,0,0,6,1994,1,13,400,362,3,9,37,0,3,0
3,1,4,0,2,0,0,12,1994,1,12,400,361,4,1,45,3,3,0
1,1,5,0,2,0,0,12,1995,1,12,400,360,2,4,32,0,1,0
4,0,7,1,1,0,0,7,1994,1,13,400,365,5,3,37,1,12,0
2,1,6,0,1,0,0,8,1996,0,11,400,371,4,8,33,1,2,0
1,1,7,1,1,0,0,3,1994,1,13,400,382,1,13,48,3,5,0
2,0,5,0,1,0,0,6,1996,1,11,400,373,4,13,32,3,2,0
1,1,7,0,1,0,0,7,1995,1,11,400,365,2,7,58,1,1,1
1,1,7,0,1,0,0,12,1995,1,13,400,361,2,4,66,0,1,0
1,1,4,1,2,0,0,6,1994,1,21,400,374,5,3,30,0,5,0
4,1,6,1,3,0,0,5,1996,1,33,400,372,4,15,38,1,20,0
3,1,6,0,2,0,0,2,1995,1,12,400,378,1,16,48,0,3,0
4,0,5,1,1,0,0,5,1994,1,11,400,365,1,7,31,0,4,0
3,1,6,0,1,0,0,12,1994,1,11,400,366,4,7,27,3,3,0
4,0,5,0,1,0,0,5,1994,1,13,400,367,3,12,34,1,4,0
1,1,5,0,1,0,0,11,1995,1,11,400,366,1,5,31,0,1,0
3,0,7,0,1,0,0,6,1994,1,11,400,370,2,7,52,5,3,0
3,1,7,0,1,0,0,5,1996,1,13,400,365,1,9,41,1,0,0
3,1,6,0,2,0,0,7,1996,1,12,400,366,2,9,37,0,3,0
4,1,6,1,1,0,0,12,1995,1,11,400,361,3,10,35,1,8,0
1,0,5,0,2,0,0,8,1995,0,12,400,367,2,6,43,0,1,0
1,1,6,0,1,0,0,6,1995,1,13,400,433,5,6,41,0,1,0
1,1,7,0,2,0,0,1,1995,1,12,400,43,2,4,70,5,1,0
4,1,5,1,2,0,0,9,1996,0,12,400,361,3,3,31,0,4,0
1,1,0,1,1,0,0,6,1995,1,11,400,361,3,2,19,0,5,0
3,1,6,1,1,0,0,1,1996,1,13,400,365,1,1,27,5,3,0
4,1,7,0,1,0,0,4,1995,1,11,400,370,4,12,50,5,4,1
3,1,4,0,1,0,0,5,1995,1,13,400,369,3,10,34,0,3,0
1,1,6,1,1,0,0,5,1995,1,13,400,367,4,14,40,0,2,0
2,0,7,0,1,0,0,10,1995,1,11,400,359,5,7,54,5,2,0
4,1,4,0,2,0,0,3,1996,0,12,400,365,2,12,24,1,4,0
3,1,5,0,2,0,0,12,1996,0,12,400,379,3,6,42,0,3,0
2,1,5,0,1,0,0,8,1994,1,13,400,371,2,9,27,3,0,0
1,1,7,0,2,0,0,6,1994,1,12,400,391,4,12,52,0,1,0
4,1,7,0,2,0,0,12,1995,1,12,400,369,5,7,40,5,8,0
2,1,5,1,2,0,0,11,1994,0,12,400,367,3,3,27,1,2,0
2,1,4,0,1,0,0,7,1994,1,13,400,366,5,8,29,3,2,0
3,1,2,0,2,0,0,1,1994,1,12,400,370,4,5,18,5,3,0
1,1,5,1,1,0,0,4,1994,1,13,400,370,4,10,33,5,1,0
3,1,6,0,2,0,0,11,1994,1,12,400,399,4,4,40,1,3,1
3,1,7,1,1,0,0,6,1995,1,11,400,398,4,7,59,0,3,0
1,0,7,0,1,0,0,8,1995,1,11,400,365,5,9,56,0,1,0
4,1,6,1,1,0,0,6,1995,1,11,400,375,2,1,45,1,8,0
1,0,6,0,1,1,0,1,1995,1,13,500,377,1,14,48,3,0,0
1,1,6,0,2,0,0,8,1994,0,12,400,369,1,1,27,5,2,0
1,1,5,0,1,0,0,12,1996,1,11,400,366,4,6,28,0,1,0
1,1,3,1,1,0,0,4,1996,0,11,400,391,2,16,33,1,1,0
3,1,5,1,1,0,0,9,1994,1,11,400,365,1,9,29,3,3,0
3,1,7,1,1,0,0,2,1995,1,13,400,374,4,11,55,0,9,0
3,1,7,0,1,1,0,7,1994,1,13,700,365,3,12,72,0,3,0
4,1,5,0,1,0,0,9,1996,1,11,400,390,3,7,27,0,4,0
4,1,5,1,1,0,0,5,1994,1,11,400,360,3,11,31,0,4,0
3,1,6,0,1,0,0,12,1995,0,11,400,359,1,3,29,0,6,0
1,1,7,0,1,1,0,11,1996,1,11,700,374,4,6,60,0,1,0
1,1,5,0,1,0,0,11,1995,0,13,400,364,5,14,26,0,1,0
2,1,5,0,2,0,0,3,1996,1,12,400,421,2,6,33,0,2,0
3,1,5,0,1,0,0,11,1995,1,11,400,365,2,14,30,0,6,0
4,1,6,1,2,0,0,4,1996,0,12,400,363,5,8,36,0,4,0
1,1,6,0,3,0,0,6,1994,1,33,400,402,2,8,63,3,5,0
4,1,6,0,1,0,0,1,1995,1,13,400,369,3,16,31,5,4,0
3,1,6,0,1,0,0,5,1996,1,11,400,366,4,12,29,1,3,0
2,1,7,0,1,0,0,4,1995,1,11,400,402,3,9,58,0,4,0
4,1,7,1,1,0,0,7,1996,1,13,400,365,2,10,43,5,4,0
4,1,6,0,1,0,0,2,1996,1,11,400,367,2,3,26,5,12,0
3,0,7,0,1,0,0,11,1994,1,13,400,385,1,2,64,1,0,0
2,1,6,0,1,0,0,2,1995,0,13,400,366,2,13,43,5,2,0
3,1,7,0,1,0,0,8,1994,0,11,400,377,1,1,39,0,3,0
4,1,6,1,1,0,0,9,1995,0,13,400,366,1,15,41,0,4,0
3,1,6,0,2,0,0,10,1996,1,12,400,392,2,9,41,5,15,0
4,1,6,0,2,0,0,8,1996,1,12,400,406,1,4,42,0,8,0
1,1,6,1,1,1,0,12,1994,1,11,500,368,4,10,41,0,1,0
3,1,6,0,1,0,0,6,1994,1,13,400,373,1,14,40,0,3,0
2,1,5,0,2,0,0,2,1995,1,12,400,365,5,3,31,0,10,0
2,1,5,0,1,0,0,5,1994,0,13,400,368,3,1,29,0,2,0
3,1,5,0,1,0,0,12,1995,1,11,400,374,3,13,27,0,3,0
4,1,7,1,1,0,0,10,1996,1,11,400,360,2,13,47,1,4,0
2,1,5,0,2,0,0,3,1995,0,12,400,367,1,3,34,0,2,0
4,1,5,0,2,0,0,2,1994,1,12,400,373,3,2,34,5,4,0
1,1,5,1,1,0,0,12,1994,1,11,400,361,2,8,27,5,2,0
1,1,5,0,1,0,0,2,1996,1,11,400,373,4,7,35,3,1,0
3,1,7,0,1,0,0,2,1994,1,11,400,372,3,1,46,0,3,0
3,0,6,1,2,0,0,2,1994,1,12,400,365,3,5,45,5,3,0
2,1,0,0,1,0,0,5,1994,1,13,400,389,1,7,19,0,10,1
2,1,5,0,2,0,0,2,1995,1,12,400,366,2,15,77,1,4,0
2,1,4,0,1,0,0,3,1996,1,13,400,369,1,6,22,0,2,0
1,1,6,0,1,0,0,5,1994,1,13,400,391,2,2,51,1,5,0
2,1,7,0,1,0,0,3,1994,0,11,400,393,1,9,67,0,2,0
1,1,6,0,2,0,0,11,1994,1,12,400,365,2,14,44,0,1,0
2,1,5,0,2,0,0,12,1994,0,12,400,366,4,16,42,5,4,0
4,1,6,0,1,0,0,5,1996,1,13,400,390,1,1,58,0,4,1
4,1,6,1,1,0,0,3,1995,1,11,400,366,3,5,37,5,4,0
3,0,6,1,1,0,0,4,1994,0,13,400,375,4,13,52,3,3,0
2,1,6,0,1,0,0,5,1994,0,13,400,390,3,4,42,0,0,0
3,1,6,0,1,0,0,6,1996,1,11,400,386,5,16,34,0,3,0
3,1,5,0,1,0,0,9,1996,1,11,400,365,4,8,27,0,3,0
2,1,7,0,1,0,0,10,1995,1,13,400,361,5,12,36,0,10,0
1,1,4,0,1,0,0,3,1996,1,11,400,365,4,10,24,3,5,0
2,1,5,0,1,0,0,9,1994,1,11,400,370,2,11,27,1,2,0
4,1,4,0,1,0,0,1,1994,0,11,400,374,4,9,28,5,4,0
3,1,7,0,3,0,0,6,1994,1,33,400,361,3,9,76,1,15,0
3,1,6,1,1,0,0,10,1994,1,11,400,368,4,4,26,0,3,1
1,1,6,1,1,0,0,6,1996,1,13,400,371,1,9,35,5,1,0
4,1,3,1,1,0,0,12,1995,0,13,400,374,2,12,26,1,0,0
3,1,5,1,1,0,0,11,1996,1,13,400,367,3,8,33,3,3,0
2,1,6,0,2,0,0,1,1995,1,12,400,371,1,1,41,0,4,0
3,1,6,1,2,0,0,9,1994,1,12,400,362,3,14,48,0,3,0
2,1,7,0,1,0,0,7,1996,1,13,400,379,3,10,52,3,2,0
3,1,6,0,2,0,0,4,1994,1,12,400,362,4,1,44,5,6,0
4,1,6,0,1,0,0,12,1996,1,11,400,368,1,8,34,1,4,0
1,0,7,0,3,0,0,2,1994,1,33,400,386,2,6,44,0,5,0
3,1,6,1,1,0,0,4,1995,0,13,400,387,3,1,27,1,3,0
3,1,6,0,1,0,0,7,1995,1,11,400,365,1,15,43,0,6,0
4,1,6,1,1,0,0,2,1995,1,13,400,371,3,9,35,5,8,0
3,1,6,0,1,0,0,3,1995,1,13,400,370,1,2,36,1,3,0
4,1,7,0,1,0,0,3,1995,1,11,400,368,1,1,62,0,4,1
3,1,5,1,1,0,0,1,1994,1,13,400,362,4,8,29,5,3,0
1,1,6,1,1,0,0,1,1994,1,13,400,365,2,9,36,5,1,0
3,0,7,0,1,0,0,4,1995,1,13,400,362,2,11,47,1,3,0
1,1,7,1,1,0,0,6,1994,1,11,400,378,4,3,45,0,2,0
4,1,5,1,1,0,0,7,1994,1,11,400,366,4,8,34,1,4,0
2,1,5,1,1,0,0,1,1994,0,11,400,372,3,1,22,0,2,0
4,1,7,0,1,1,1,12,1994,1,13,500,362,4,13,60,0,8,0
1,1,6,1,2,0,0,10,1996,1,12,400,369,3,5,36,0,1,0
1,1,7,0,2,0,0,9,1994,1,21,400,364,5,5,54,0,5,0
2,1,6,1,1,1,0,6,1996,1,13,700,364,5,10,43,0,4,0
2,1,6,0,2,0,0,12,1996,1,12,400,379,3,12,52,0,2,0
1,1,7,0,2,0,0,12,1996,0,12,400,365,4,6,43,0,1,0
1,1,4,0,2,0,0,1,1995,1,12,400,376,2,16,24,0,1,0
3,1,6,1,1,0,0,8,1996,1,13,400,370,5,12,42,5,3,0
2,1,6,1,1,1,0,6,1994,1,11,500,371,1,14,46,5,6,0
3,1,5,1,1,0,0,7,1996,1,13,400,366,2,15,34,1,3,0
1,1,6,1,1,0,0,12,1994,1,13,400,366,2,6,37,0,1,0
2,1,5,0,1,0,0,8,1994,1,11,400,377,3,10,26,1,4,0
4,1,5,0,2,0,0,11,1995,0,12,400,365,4,10,27,0,8,0
4,1,6,0,2,1,0,2,1996,1,12,700,376,2,5,35,5,4,0
2,1,7,0,2,0,0,3,1996,1,12,400,359,2,5,55,3,2,0
4,1,4,0,1,0,0,11,1994,1,13,400,379,1,5,30,0,8,0
3,1,5,1,2,0,0,11,1996,1,12,400,367,3,7,26,0,3,0
4,1,5,0,3,0,0,9,1996,1,33,400,390,5,5,41,0,20,0
2,1,5,0,1,0,0,10,1994,1,11,400,363,5,14,35,0,2,0
1,0,7,0,1,0,0,11,1994,1,13,400,402,5,3,48,0,1,0
4,1,7,1,1,0,0,5,1996,1,13,400,360,2,11,62,1,4,0
4,1,6,0,2,0,0,2,1994,0,21,400,381,1,16,41,0,20,0
2,1,6,0,2,0,0,1,1994,1,12,400,365,3,4,41,5,2,0
1,1,6,0,2,0,0,1,1995,1,12,400,367,3,2,26,0,1,0
4,1,6,0,2,0,0,7,1996,1,12,400,367,4,16,41,0,4,0
3,1,5,0,2,0,0,12,1996,1,12,400,368,5,11,30,5,6,1
4,1,5,0,2,0,0,2,1994,1,12,400,364,5,11,31,3,4,0
4,0,7,0,1,0,0,12,1995,1,13,400,380,2,1,42,5,4,1
2,1,5,0,1,0,0,4,1994,0,13,400,365,5,7,31,0,2,0
4,1,7,0,2,1,0,3,1994,1,12,700,376,4,5,50,0,8,1
3,1,5,1,2,0,0,10,1995,1,12,400,377,4,15,27,0,3,1
4,1,6,0,1,0,0,6,1994,1,13,400,391,5,11,38,0,4,0
3,1,7,0,1,0,0,4,1996,1,13,400,367,2,4,47,5,15,0
3,1,5,0,3,0,0,6,1994,1,33,400,391,5,3,36,0,9,0
1,1,6,0,2,0,0,7,1996,0,12,400,373,4,13,38,1,1,0
3,1,6,0,1,1,0,6,1995,1,13,700,369,3,13,66,0,0,0
3,1,7,1,1,0,0,7,1996,1,11,400,463,1,3,51,0,0,1
4,1,7,0,1,0,0,12,1995,1,11,400,366,4,8,65,5,20,0
2,1,4,0,1,0,0,11,1996,1,11,400,365,5,14,24,0,2,0
2,1,7,1,2,0,0,9,1996,1,21,400,366,1,13,52,3,10,0
1,1,6,1,1,0,0,5,1994,0,11,400,367,5,5,45,0,1,0
4,1,6,1,2,0,0,4,1995,1,12,400,360,1,10,55,0,12,0
3,1,6,0,1,0,0,10,1994,1,11,400,369,3,12,27,3,3,0
1,1,6,0,2,0,0,11,1994,1,12,400,365,5,3,38,3,1,0
4,0,7,0,2,0,0,9,1995,1,12,400,362,3,15,37,0,8,0
3,1,7,0,2,0,0,4,1996,1,12,400,365,1,1,44,5,3,0
1,1,7,0,1,0,0,5,1996,1,11,400,370,5,12,40,3,5,0
2,1,7,0,1,0,1,2,1996,1,13,400,363,2,13,48,0,4,1
4,1,4,0,2,0,0,7,1994,0,12,400,365,1,2,27,3,4,1
3,1,6,1,2,0,0,9,1996,1,12,400,385,2,10,33,0,3,0
2,1,7,1,1,0,0,7,1994,1,13,400,366,1,7,76,0,0,0
1,0,6,1,1,0,1,9,1996,1,11,400,387,3,16,28,0,2,1
2,1,7,1,1,0,0,12,1996,1,11,400,375,1,13,46,3,2,0
1,1,5,1,2,0,0,4,1995,1,12,400,374,4,10,26,0,2,0
1,1,6,1,1,0,0,4,1994,1,11,400,361,2,13,35,5,2,0
4,1,5,0,1,1,0,10,1995,0,11,500,366,2,6,53,0,4,0
1,1,4,1,1,0,0,4,1995,1,13,400,361,3,7,23,5,1,0
4,1,7,0,2,0,0,4,1994,1,12,400,366,3,10,40,3,8,0
3,1,4,1,1,0,0,1,1994,0,11,400,377,2,13,21,0,3,0
3,1,3,1,1,0,0,9,1995,1,11,400,370,3,3,23,5,3,0
2,1,7,0,2,0,0,4,1994,1,12,400,365,4,5,61,0,4,0
1,1,5,0,2,0,0,6,1994,1,12,400,365,4,13,33,5,1,0
1,1,5,0,1,0,0,7,1995,1,11,400,364,4,13,26,5,2,0
3,1,7,0,1,0,0,3,1996,1,11,400,368,4,3,60,5,6,0
3,1,7,0,1,0,0,4,1995,1,13,400,376,3,13,57,0,6,0
1,1,5,0,1,0,0,3,1996,1,13,400,370,3,9,33,0,1,0
1,1,0,0,2,0,0,2,1994,1,12,400,371,3,15,19,0,5,0
4,0,5,1,1,0,0,7,1995,1,11,400,372,2,2,26,0,8,0
2,0,5,0,2,0,0,5,1994,1,12,400,369,3,7,33,1,4,0
3,1,5,1,1,0,0,8,1995,1,11,400,368,2,14,33,0,0,0
1,0,6,0,1,0,0,8,1995,1,13,400,371,3,7,37,0,1,0
1,1,6,0,1,0,0,7,1995,1,13,400,360,1,6,26,1,1,0
2,1,5,0,1,0,0,11,1995,1,11,400,361,3,6,29,0,2,1
3,1,6,0,1,0,0,4,1995,1,11,400,360,3,7,36,1,6,0
2,1,5,0,1,0,0,2,1995,0,13,400,375,4,16,26,0,2,0
2,1,6,0,1,0,0,2,1994,1,13,400,367,2,4,28,1,6,0
1,1,7,0,1,0,0,9,1994,1,11,400,379,1,11,46,5,1,1
1,1,5,0,1,0,0,3,1994,1,11,400,365,1,16,21,1,1,0
1,1,6,0,1,0,0,6,1996,1,13,400,365,3,8,58,1,5,0
1,1,4,0,1,0,0,11,1996,1,11,400,359,1,2,21,1,1,0
2,1,7,0,2,1,0,2,1994,1,12,500,371,1,4,49,5,2,0
4,1,5,0,2,0,0,2,1995,0,12,400,376,4,7,26,5,0,1
1,1,5,1,2,0,0,12,1995,1,12,400,373,4,6,37,3,1,0
4,1,5,1,1,0,0,4,1994,1,13,400,373,4,5,27,3,4,0
3,1,1,1,1,0,0,11,1996,1,11,400,366,4,15,25,0,6,0
2,1,6,0,3,0,0,9,1995,1,33,400,531,1,15,32,0,6,0
1,1,3,1,1,0,0,10,1996,0,13,400,368,4,2,31,0,5,0
4,1,6,0,2,0,0,10,1994,1,12,400,365,3,2,32,5,4,0
2,1,6,0,2,0,0,5,1996,1,12,400,359,2,11,27,5,4,0
3,1,7,0,2,0,0,5,1996,0,12,400,372,2,15,64,3,9,0
2,1,7,0,1,0,0,8,1995,1,11,400,366,4,4,64,1,4,0
4,1,6,0,2,0,0,3,1994,0,12,400,373,3,10,38,0,8,1
1,1,6,1,1,0,0,6,1996,1,11,400,402,2,14,35,1,2,0
2,1,6,1,1,0,0,3,1995,1,11,400,359,2,10,38,0,2,0
4,1,6,0,2,0,0,2,1996,0,12,400,366,1,4,34,5,4,0
4,1,3,0,1,0,0,10,1996,0,11,400,359,4,6,26,1,4,0
4,0,5,0,2,0,0,10,1994,1,12,400,361,4,11,35,0,4,0
4,1,6,1,2,0,0,8,1996,1,12,400,371,1,16,35,3,8,0
3,0,5,0,1,0,0,2,1994,1,11,400,362,5,16,33,0,3,0
3,1,5,0,2,0,0,1,1995,0,12,400,366,3,2,26,0,6,0
1,1,6,0,1,0,0,1,1995,1,13,400,33,1,7,34,0,0,0
2,1,7,0,1,0,0,4,1994,1,11,400,360,1,2,62,5,0,0
1,0,4,1,1,0,0,11,1995,0,13,400,369,1,9,23,3,1,0
4,1,6,0,1,0,0,11,1995,1,13,400,371,1,1,49,5,0,0
2,1,5,0,2,0,0,12,1994,1,12,400,373,3,9,28,0,2,0
2,1,5,0,1,0,0,11,1996,1,11,400,365,4,2,41,0,2,0
4,1,6,0,1,0,0,3,1994,1,11,400,365,3,4,45,1,4,0
3,0,5,0,1,0,0,9,1995,1,11,400,362,3,9,30,3,3,0
3,1,6,0,1,0,0,8,1995,0,13,400,418,2,5,47,0,3,0
3,1,0,0,2,0,0,3,1995,1,12,400,370,2,2,19,0,15,0
3,1,7,0,2,0,0,1,1996,1,12,400,365,4,7,52,0,3,1
4,1,7,0,2,0,0,6,1994,1,12,400,365,4,13,64,5,8,0
4,1,5,0,2,0,0,1,1995,1,12,400,375,2,10,26,5,8,0
2,0,6,0,2,0,0,3,1995,0,12,400,378,1,4,33,0,2,0
4,1,7,0,1,0,0,8,1995,1,11,400,364,5,8,50,1,4,0
1,1,5,1,1,0,0,1,1995,1,13,400,368,1,13,51,0,2,0
1,1,7,0,1,0,0,12,1995,1,11,400,365,3,3,50,0,2,1
3,1,4,1,2,0,0,4,1994,0,12,400,366,3,12,24,0,15,0
2,0,7,0,1,0,0,11,1995,1,13,400,375,3,15,63,5,2,0
1,1,6,0,1,0,0,11,1994,1,13,400,366,1,6,41,0,2,0
1,1,6,0,2,1,0,8,1996,1,12,700,365,5,2,41,0,3,0
3,1,4,1,1,0,0,7,1994,1,13,400,366,3,16,21,0,0,0
4,1,7,1,1,0,0,7,1996,1,13,400,372,1,16,59,5,4,0
1,0,6,1,1,0,0,6,1996,1,11,400,360,2,12,36,0,1,0
1,1,7,0,1,0,0,9,1994,1,13,400,369,5,14,52,5,1,0
3,1,5,0,2,0,0,8,1994,1,12,400,368,5,6,26,0,3,0
2,1,4,0,2,0,0,1,1994,0,12,400,15,5,5,28,1,2,0
1,1,6,0,2,1,0,3,1994,1,12,700,365,3,14,34,5,2,0
3,1,7,1,1,0,0,2,1995,1,13,400,366,4,12,64,5,0,0
4,1,7,0,1,0,0,5,1994,1,13,400,393,4,14,48,3,4,0
4,1,5,1,1,0,0,10,1994,1,13,400,365,5,8,34,5,4,1
3,1,7,0,2,0,0,8,1996,1,12,400,366,4,5,50,1,6,0
4,1,6,1,2,0,0,12,1996,0,12,400,371,4,3,42,3,12,0
4,1,6,0,2,0,0,4,1995,1,12,400,435,4,4,52,5,4,0
4,0,6,1,1,0,0,8,1996,1,13,400,366,3,16,43,0,4,0
2,1,6,1,2,1,0,3,1994,0,12,500,366,4,11,27,3,10,0
2,1,2,1,1,0,0,4,1994,1,13,400,360,2,15,22,0,2,0
1,1,5,1,1,0,0,11,1995,1,13,400,367,2,9,29,0,2,0
2,1,6,1,1,0,0,9,1995,1,11,400,376,2,4,35,1,2,0
2,1,5,0,2,0,0,2,1995,0,12,400,366,3,14,28,0,2,0
4,1,4,0,2,0,0,1,1995,1,12,400,14,4,11,32,0,4,0
4,1,7,0,2,0,0,3,1995,1,12,400,374,3,8,54,0,12,0
4,1,6,1,1,0,0,12,1995,1,13,400,361,3,12,41,1,4,0
2,1,6,0,1,0,0,5,1994,1,13,400,372,5,1,28,5,10,0
2,1,6,0,1,0,0,4,1994,1,13,400,371,1,8,41,0,2,0
4,1,7,0,2,0,0,4,1994,1,12,400,382,3,16,60,0,4,0
3,1,0,0,1,0,0,1,1996,1,13,400,181,1,6,19,0,15,0
4,1,5,0,1,0,0,5,1994,0,11,400,370,1,4,27,1,4,0
1,1,6,0,1,0,0,1,1994,1,13,400,360,4,15,28,3,3,0
4,1,6,1,1,0,0,1,1996,1,13,400,371,2,7,37,5,8,0
4,0,0,0,2,0,0,7,1995,1,12,400,362,1,13,19,0,20,0
1,1,7,0,2,0,0,8,1996,1,12,400,365,4,14,64,5,5,0
3,0,6,1,3,0,0,8,1994,1,33,400,378,2,1,28,3,15,1
3,1,7,0,2,0,0,11,1995,1,12,400,366,4,16,45,5,6,0
1,1,7,0,1,0,0,5,1994,1,11,400,429,1,6,38,5,5,1
3,1,4,1,1,0,0,11,1996,1,11,400,395,2,1,32,0,3,0
1,1,6,0,1,0,0,6,1995,0,11,400,365,2,7,54,3,1,0
2,1,6,0,2,0,0,2,1995,1,12,400,369,3,5,38,0,2,1
4,1,6,1,1,0,0,6,1996,1,11,400,362,2,14,35,3,4,0
3,1,6,0,1,1,0,3,1995,0,13,500,366,3,10,26,3,0,0
4,1,7,0,1,0,0,10,1996,1,11,400,368,1,6,41,0,16,0
4,1,7,0,1,0,0,9,1996,1,13,400,421,3,15,41,3,12,0
1,0,7,0,1,0,0,6,1996,1,11,400,361,3,7,65,0,3,0
3,1,6,1,1,0,0,1,1995,1,13,400,12,4,3,39,0,3,0
1,1,5,0,1,0,0,5,1996,1,13,400,370,3,3,44,0,5,0
1,1,5,1,2,0,0,4,1995,1,12,400,362,4,14,28,5,2,0
3,1,5,0,1,0,0,6,1994,0,11,400,360,3,5,44,0,6,0
3,1,7,1,1,0,0,10,1996,1,13,400,360,4,2,72,0,3,0
3,1,6,0,1,0,0,12,1995,1,13,400,380,4,14,34,0,3,0
2,1,6,0,1,0,0,5,1994,1,13,400,408,5,15,45,0,4,0
4,1,6,1,1,0,0,4,1995,1,11,400,385,1,10,34,3,4,0
1,1,5,0,2,0,0,11,1994,1,12,400,366,2,9,35,0,2,1
3,1,6,0,2,0,0,5,1996,1,21,400,369,4,3,36,0,15,1
3,1,7,0,1,0,0,11,1995,1,11,400,365,4,16,40,5,6,0
2,1,6,0,1,1,0,9,1994,1,11,700,374,1,9,41,0,0,0
1,1,6,0,2,0,0,6,1994,1,12,400,361,1,14,60,5,2,0
4,1,5,0,2,0,0,1,1995,1,12,400,365,5,7,26,0,4,0
1,1,6,0,1,0,0,10,1995,0,13,400,374,4,12,32,5,1,0
4,1,5,1,1,0,0,8,1994,1,11,400,383,1,9,33,0,8,0
3,1,7,0,1,0,0,1,1996,1,11,400,365,4,9,46,0,3,0
2,1,6,0,2,0,0,4,1994,0,12,400,365,5,11,29,0,4,0
3,1,7,0,3,0,0,3,1994,1,32,400,385,2,11,47,5,15,0
3,1,5,1,1,0,0,7,1996,1,11,400,366,4,6,30,5,15,0
2,1,4,0,2,0,0,4,1994,1,12,400,360,4,11,32,5,4,0
4,1,4,0,1,0,0,7,1996,1,11,400,364,5,5,62,5,4,0
4,1,7,1,1,0,0,10,1995,1,11,400,360,3,14,46,0,4,0
2,1,7,0,1,0,0,4,1994,1,11,400,375,4,10,52,3,4,0
3,1,7,0,2,0,0,6,1996,1,12,400,375,3,12,64,3,6,0
1,1,4,0,2,0,0,7,1994,1,12,400,365,2,4,31,1,1,0
2,1,5,1,1,0,0,7,1994,1,11,400,361,1,1,28,3,2,0
4,1,5,1,1,0,0,12,1996,1,11,400,381,1,15,27,0,4,0
3,1,6,0,2,0,0,1,1994,1,12,400,360,2,1,45,0,3,0
1,1,0,0,1,0,0,4,1996,1,13,400,373,4,14,19,0,5,0
3,1,6,0,1,0,0,1,1996,0,11,400,373,3,3,46,0,3,0
3,0,4,1,1,0,0,4,1996,0,11,400,361,1,16,33,0,3,0
3,1,7,0,1,0,0,12,1994,1,11,400,361,3,4,61,3,6,0
4,1,7,1,1,0,0,2,1995,1,11,400,372,4,3,62,0,4,0
1,1,5,0,2,0,0,10,1994,1,12,400,366,3,12,64,0,5,0
4,1,3,1,1,0,0,10,1994,1,11,400,380,3,6,21,0,8,0
2,0,5,1,1,0,0,8,1996,1,11,400,370,3,14,30,3,2,0
2,1,5,0,1,0,0,11,1996,1,11,400,384,2,8,33,0,4,0
3,1,0,1,2,0,0,4,1994,1,12,400,447,3,3,19,0,15,0
1,1,7,0,2,0,0,3,1995,1,12,400,359,3,5,56,0,2,0
2,1,6,0,2,1,0,1,1994,0,12,700,4,5,16,39,0,10,0
2,1,7,0,3,0,0,8,1994,1,33,400,380,3,1,36,0,10,0
4,1,6,0,2,0,0,5,1995,1,12,400,365,5,1,36,1,4,0
1,1,7,1,1,0,0,12,1995,1,13,400,369,1,1,48,3,1,0
4,1,7,0,1,0,0,2,1994,1,13,400,368,2,6,55,1,4,0
2,1,7,0,1,0,0,8,1995,1,13,400,402,2,4,51,1,2,0
1,1,4,0,1,0,0,7,1994,1,11,400,375,2,2,28,0,1,0
2,1,6,0,1,0,0,12,1996,1,11,400,371,2,2,44,5,2,0
4,1,6,1,1,0,0,2,1994,1,11,400,362,1,13,37,5,4,1
4,1,6,1,2,0,0,2,1994,1,12,400,367,2,1,42,5,12,1
3,1,6,0,1,0,0,9,1996,1,13,400,402,5,11,35,0,3,1
1,1,5,0,1,0,0,11,1995,1,11,400,367,4,12,27,1,2,0
1,1,6,0,1,1,0,1,1994,0,11,700,365,3,2,61,0,1,0
2,1,7,1,1,0,0,4,1995,1,11,400,371,1,3,49,0,10,0
1,1,6,0,1,0,0,11,1994,1,13,400,381,4,4,41,0,5,0
3,0,5,0,1,0,0,10,1995,0,13,400,361,3,16,30,0,15,0
1,0,6,0,1,0,0,5,1994,0,11,400,360,5,7,37,0,1,0
1,1,5,0,1,0,0,7,1996,0,11,400,370,2,2,27,0,1,0
4,1,5,0,3,0,0,10,1995,1,33,400,382,3,9,51,5,20,0
4,1,2,0,2,0,0,6,1996,1,12,400,365,4,14,29,0,4,0
1,1,6,0,1,0,0,5,1996,1,13,400,387,2,2,52,1,0,0
4,1,5,1,2,0,0,4,1994,1,12,400,375,2,10,30,0,8,0
3,1,6,0,2,0,0,3,1994,1,12,400,365,4,9,44,5,3,0
